Alpha,q,delta_e,pred_y1,pred_y2,pred_y3
0.01241454,0.133552163,-0.017894198,0.20085360804932895,0.09858999183700881,-0.20024203570456955
0.010426694,0.132011143,-0.017035273,0.1995021536637584,0.0966049210990724,-0.19913147037919748
0.00849527,0.131403301,-0.024049819,0.1953550150707842,0.09444979324435626,-0.19476793545334506
0.006659446,0.131342145,-0.038866207,0.18847080285876247,0.09209554799832874,-0.18714884733110937
0.004925163,0.131655993,-0.036217888,0.18797738452499835,0.09074421516513408,-0.18725791526926655
0.003332508,0.132397617,-0.046739679,0.18284706491745184,0.08895319895123062,-0.1817840471538109
0.001879369,0.133356205,-0.045880753,0.18194255710480545,0.08787585374679083,-0.18138820012102128
0.000558274,0.134255546,-0.051105848,0.1789516855889343,0.08660967453136749,-0.17841637641673008
-0.000688142,0.134667926,-0.043232405,0.18075267790709665,0.08596079899326553,-0.18112355863216759
-0.001873002,0.134860622,-0.037148386,0.1819590222558939,0.08524131771608233,-0.18305681375953828
-0.002983963,0.135130689,-0.036217888,0.1813663734413823,0.08435048443946025,-0.18280346278893939
-0.003975807,0.135937117,-0.038007311,0.17989121905202968,0.08352626000222055,-0.18152145408186535
-0.004818293,0.137127429,-0.049388027,0.17507781520142074,0.08243530199365089,-0.1762136461666124
-0.005549849,0.138130294,-0.047598604,0.17511242906821795,0.08204927660922488,-0.1766841569314387
-0.006209162,0.138715554,-0.044091331,0.17582768667686977,0.08173795635694488,-0.17788528034501142
-0.006806725,0.139185813,-0.036217888,0.1781710365671334,0.08167324189340054,-0.1810097651778575
-0.007373623,0.139175851,-0.040584057,0.17612070595333243,0.08095795918742936,-0.1787494393610001
-0.007912683,0.139292483,-0.023119322,0.18197604997894032,0.08134915212403108,-0.18603517829897304
-0.008297902,0.140509498,-0.043232405,0.17439189825806167,0.08024348790488242,-0.17721556763225893
-0.008512487,0.142277072,-0.051964773,0.17105956825171625,0.0799370317743756,-0.17354402346429926
-0.008591583,0.143820665,-0.058120395,0.1687708659771366,0.07983660389364294,-0.17104632749978496
-0.008619876,0.144582414,-0.046739679,0.1728564106913981,0.08049652481919388,-0.17610108081594097
-0.008584015,0.145363918,-0.038007311,0.17603935044353375,0.08108807300151684,-0.18004561427487825
-0.008443395,0.146453806,-0.047598604,0.17269379713928518,0.08093636569166109,-0.17612108923207326
-0.008157867,0.148205907,-0.046739679,0.17324259073475248,0.08153534523799301,-0.17694000086512235
-0.007705407,0.150170667,-0.065922265,0.16669460200270197,0.0813460377603058,-0.1691662400961991
-0.007201202,0.151226843,-0.053754196,0.17150953319292078,0.08256652434074405,-0.174943774362316
-0.006690305,0.151617676,-0.043232405,0.17573564238234096,0.08359732189452514,-0.1799077884804667
-0.006156345,0.152046518,-0.037148386,0.17837869896346564,0.08443969198186577,-0.1829590099122566
-0.005597145,0.152373312,-0.045021828,0.1760032829053214,0.08460905220009421,-0.17993091660693863
-0.005016019,0.152835186,-0.035358963,0.1799779651887554,0.08567264127927739,-0.18457575229928433
-0.004335202,0.153982791,-0.049388027,0.17548161708340174,0.0857934872089034,-0.17906702803598865
-0.00354339,0.155502564,-0.054613121,0.1742568641566283,0.08650466113290195,-0.17751942657241196
-0.002665886,0.15682519,-0.060697141,0.17279360940108449,0.08721567645386401,-0.17562182218286265
-0.00177893,0.157429663,-0.051105848,0.17699808394723673,0.0885711802007869,-0.1804496135277008
-0.000863974,0.158117373,-0.043232405,0.18060570499383358,0.0898825338541461,-0.18455934021994658
0.000240003,0.16049068,-0.054613121,0.17741929361594933,0.09071947781381019,-0.18065603499276342
0.001956354,0.167856137,-0.089542622,0.1662420733197548,0.09182302886522759,-0.16763563489041494
0.005203123,0.186192189,-0.190036496,0.13267099409559993,0.09300522588195337,-0.12867866532828579
0.011246929,0.220528484,-0.387517002,0.06641926479641883,0.09473582749535402,-0.05165601596102809
0.02115225,0.270373804,-0.629518271,-0.012679686198642487,0.10041834012776069,0.03998258950178177
0.035481371,0.331187764,-0.825209354,-0.0713598583411193,0.11417040485400676,0.10700446504379779
0.054294776,0.396816897,-0.958055983,-0.10360072636835199,0.13577828897739924,0.1430999646578795
0.077218615,0.461550561,-1.0,-0.09958392298506985,0.16528041788752573,0.13714622038374874
0.103696449,0.521826065,-0.987760359,-0.07303253965147144,0.19978238367850434,0.10602693621543319
0.133145984,0.576369224,-0.938801795,-0.03073922796968473,0.23769956166003292,0.057908977693509334
0.165093775,0.62558503,-0.894281001,0.012039974507472684,0.2766854224324078,0.010956767878422563
0.199177147,0.670611922,-0.856703153,0.05409738332250871,0.3164954036611227,-0.03368227581839539
0.235164785,0.712842362,-0.842745691,0.08921798589302092,0.3563573111062588,-0.06880852496663861
0.272821415,0.752471448,-0.842745691,0.12069408051190979,0.3965660097917503,-0.09851244912874471
0.311912636,0.789674171,-0.834872219,0.15621215460826518,0.4380043660295546,-0.13218232742469171
0.352217498,0.824330753,-0.840097343,0.18801521358513776,0.47943792039905553,-0.16052563637694783
0.393430267,0.855654404,-0.829575552,0.22626284764841367,0.5218597328126423,-0.195795781831373
0.435241118,0.883243635,-0.81390021,0.2668711753092746,0.5644115842761352,-0.2331225659378513
0.477424487,0.907896302,-0.792069276,0.3100134574283295,0.6070812734066761,-0.27292111261488816
