Alpha,q,delta_e,prediction_0
0.0349114,-0.003082294,0.089003755,0.05739236
0.034812615,-0.003035669,0.089447193,0.05745411
0.034716012,-0.003056757,0.089478694,0.057443142
0.034620399,-0.003122764,0.090040866,0.057526827
0.034528141,-0.003106871,0.089922132,0.057487965
0.03444083,-0.003003059,0.089595005,0.0574131
0.034356331,-0.002974419,0.089418115,0.057365894
0.034272776,-0.003006324,0.090217757,0.05749607
0.034191258,-0.003035286,0.089951209,0.05743146
0.034112229,-0.003014753,0.09030499,0.057480335
0.034040655,-0.002778554,0.08971374,0.05736041
0.033976945,-0.002483998,0.088887443,0.05720091
0.033917302,-0.002300713,0.089359959,0.057273388
0.033860488,-0.002193975,0.08971374,0.057326794
0.033806417,-0.002104197,0.089951209,0.05736041
0.033754328,-0.002061275,0.089893054,0.057342052
0.033705069,-0.001962458,0.090336492,0.057412148
0.033661827,-0.001742979,0.089565927,0.057265043
0.033624262,-0.001481493,0.08953685,0.057252884
0.03359199,-0.001230868,0.08929938,0.057204008
