Alpha,q,delta_e,Output1
0.022525978,-0.058288056,0.095097996,0.041963562
0.021949769,-0.056783375,0.095602013,0.041963447
0.021421382,-0.055138239,0.095303964,0.04188115
0.020943586,-0.053255461,0.095127074,0.041830733
0.020520005,-0.051111459,0.094063308,0.041693203
0.020151377,-0.048777904,0.09361987,0.041646462
0.01983845,-0.046297069,0.092968041,0.041590244
0.01957823,-0.043831293,0.092730571,0.041593075
0.019365607,-0.041505755,0.093144931,0.04167828
0.019197373,-0.039276179,0.093736182,0.04178995
0.019073554,-0.037011385,0.093796761,0.041847795
0.018994504,-0.034669961,0.093411478,0.041863356
0.018962405,-0.03213591,0.093115853,0.04190489
0.018979282,-0.029434502,0.091843696,0.0418445
0.019040146,-0.026826494,0.091637727,0.041916847
0.01913685,-0.024529866,0.092139321,0.04207039
0.019264366,-0.02244057,0.093440556,0.042318597
0.019423846,-0.020340537,0.09320551,0.042389594
0.019615973,-0.018155889,0.092938963,0.04246583
0.019840957,-0.015915232,0.092139321,0.042486425
0.02009514,-0.013762831,0.092020586,0.04259108
0.020375034,-0.011735442,0.0921999,0.042732134
0.020677987,-0.009818275,0.092318634,0.04286675
0.021002635,-0.007950829,0.09237679,0.042996608
0.021348673,-0.006086416,0.092052087,0.043084696
0.021716631,-0.004161604,0.091756462,0.04318239
0.02210581,-0.002244441,0.09095682,0.04322364
0.022514389,-0.000346121,0.091104632,0.04338119
0.022942022,0.001529426,0.090365569,0.043435633
0.023384769,0.003275705,0.090513382,0.043594718
0.023840007,0.004892232,0.090513382,0.043734275
0.024304535,0.00635839,0.090661195,0.04388833
0.024775819,0.007692027,0.090809007,0.04403933
0.025251894,0.008915112,0.090838085,0.04417344
0.025731077,0.010045205,0.090838085,0.044301607
0.026210361,0.011016502,0.090750851,0.044414185
0.026687581,0.011878658,0.091223367,0.04458969
0.027163037,0.012699966,0.090809007,0.044657513
0.027634995,0.013444162,0.090809007,0.044771686
0.028102219,0.014104864,0.090661195,0.044864558
0.028562524,0.014646873,0.09071935,0.044976823
0.029014014,0.015069125,0.090838085,0.04509075
0.029457961,0.015517676,0.090927742,0.045200624
0.029895755,0.015988642,0.090040866,0.045193344
0.030325218,0.016387264,0.090157178,0.045302004
0.030748539,0.016853975,0.089951209,0.045373224
0.031164034,0.017216335,0.089093412,0.04536161
0.03156461,0.017278218,0.090099022,0.045560047
0.031949384,0.017206524,0.090661195,0.045698106
0.032320329,0.017156529,0.09054246,0.04575286
0.032678175,0.017108947,0.090040866,0.045759447
0.033024593,0.017142158,0.090069944,0.045829915
0.03336106,0.017201383,0.089035256,0.045772202
0.033683601,0.017113041,0.089447193,0.045879923
0.033989949,0.016860708,0.089655584,0.045954853
0.034276528,0.016396203,0.090217757,0.046061367
0.034542458,0.015823445,0.090809007,0.046163894
0.034792948,0.015424124,0.090690273,0.04618427
0.035032452,0.015196623,0.089330881,0.04605992
0.03525992,0.014977657,0.089212146,0.04608184
0.035475307,0.014735392,0.089003755,0.046089984
0.035675527,0.014333696,0.08912249,0.046129115
0.035856813,0.013724379,0.089893054,0.046235763
0.036019265,0.013044662,0.090394647,0.046304367
0.036166187,0.012457845,0.090246835,0.04629545
0.036298342,0.011880537,0.089626506,0.046227545
0.036415866,0.011328973,0.090069944,0.046284854
0.036524284,0.010980763,0.089359959,0.046209216
0.036624726,0.010703262,0.088560317,0.046123654
0.036715977,0.010404966,0.088768709,0.04615616
0.036795606,0.009957306,0.088620896,0.046138994
0.036858268,0.009257072,0.089745241,0.04626237
0.036904376,0.008488039,0.090365569,0.046320103
0.036936383,0.007771128,0.090246835,0.046288542
0.036956187,0.00712883,0.090040866,0.046246655
0.03696642,0.006604291,0.089774319,0.046199553
0.036966377,0.006041045,0.089270302,0.046120882
0.036954832,0.005447068,0.090099022,0.04619828
0.036934754,0.004920466,0.089565927,0.046113506
0.036905929,0.004407389,0.08971374,0.046108887
0.036867216,0.003816077,0.089565927,0.04606449
0.036817101,0.00315925,0.090365569,0.046129018
0.036757943,0.002548437,0.090157178,0.046072878
0.036690051,0.00195498,0.090188679,0.04604429
0.036613463,0.001351098,0.090188679,0.046009943
0.036529182,0.000789125,0.090423725,0.04600361
0.036439699,0.000319461,0.090069944,0.04592891
0.036345272,-0.000121559,0.089951209,0.0458823
0.036247627,-0.000474347,0.090040866,0.045862906
0.036149471,-0.000710861,0.089507772,0.045772746
0.036048192,-0.001039129,0.089389037,0.045728557
0.03593911,-0.00157399,0.09030499,0.045799755
0.035823538,-0.002100272,0.091014976,0.04584539
0.03570442,-0.002542285,0.090455226,0.045741364
0.035583356,-0.002870135,0.090632117,0.04572872
0.035464562,-0.003014988,0.089861553,0.04560928
0.035347552,-0.00313208,0.08953685,0.04554437
0.035232425,-0.003212972,0.089832475,0.045555152
0.035120694,-0.003238256,0.089447193,0.045487016
0.035013365,-0.003179633,0.089595005,0.045486175
0.0349114,-0.003082294,0.089003755,0.045399293
0.034812615,-0.003035669,0.089447193,0.045435026
0.034716012,-0.003056757,0.089478694,0.045419723
0.034620399,-0.003122764,0.090040866,0.045466572
0.034528141,-0.003106871,0.089922132,0.04543534
0.03444083,-0.003003059,0.089595005,0.04538303
0.034356331,-0.002974419,0.089418115,0.04534675
0.034272776,-0.003006324,0.090217757,0.04542537
0.034191258,-0.003035286,0.089951209,0.04537706
0.034112229,-0.003014753,0.09030499,0.045404986
0.034040655,-0.002778554,0.08971374,0.045328423
0.033976945,-0.002483998,0.088887443,0.045227185
0.033917302,-0.002300713,0.089359959,0.04527831
0.033860488,-0.002193975,0.08971374,0.045313276
0.033806417,-0.002104197,0.089951209,0.045334317
0.033754328,-0.002061275,0.089893054,0.045318864
0.033705069,-0.001962458,0.090336492,0.045365736
0.033661827,-0.001742979,0.089565927,0.04527258
0.033624262,-0.001481493,0.08953685,0.045270532
0.03359199,-0.001230868,0.08929938,0.04524421
