Alpha,q,delta_e,Cd
0.032463966,-0.001960276,0.092287133,0.05921997200770823
0.032400175,-0.002104347,0.091400258,0.059039632028291544
0.032335415,-0.002276733,0.092020586,0.05914511098190922
0.032272366,-0.002362403,0.091695883,0.059071212344045554
0.032208618,-0.002542518,0.091518992,0.05902573917662757
0.032141213,-0.002839665,0.092434946,0.05918745466170949
0.032072201,-0.003098163,0.092434946,0.059174905687575885
0.032001529,-0.003361319,0.092287133,0.0591340114180543
0.03193032,-0.003555808,0.092582759,0.05917672509923255
0.031863137,-0.003555604,0.091933352,0.059039917972331546
0.031799117,-0.003556852,0.091342102,0.058914788279022856
0.031735002,-0.003661381,0.092020586,0.059031049551146575
0.031670197,-0.003833868,0.092139321,0.059041387889558594
0.031605168,-0.003983,0.092582759,0.05911313517097039
0.031542561,-0.004037334,0.092081165,0.05900559837204633
0.03148213,-0.004066852,0.092020586,0.05898200781773544
0.031424008,-0.004081118,0.091991508,0.058964774623856187
0.031367637,-0.004115082,0.091991508,0.058953523466080515
0.031311317,-0.004223748,0.0921999,0.058982229783312023
0.031253208,-0.004426896,0.092582759,0.059044197033579326
0.031192853,-0.00467142,0.092938963,0.059100884935631814
0.031131657,-0.004870813,0.092968041,0.059095104672119536
0.031072198,-0.004949462,0.092730571,0.05903844020166238
0.031015682,-0.004957375,0.092228978,0.0589318762037252
0.030962292,-0.004916766,0.092318634,0.058937813479498224
0.030913262,-0.004820807,0.09196243,0.058859757833666926
0.030868527,-0.004696775,0.091991508,0.05885549178761007
0.030827857,-0.004580409,0.091814618,0.058813028140364265
0.030789486,-0.004527051,0.092081165,0.05885549375165544
0.03075301,-0.004502118,0.092287133,0.058887013376609065
0.030718809,-0.004467174,0.092318634,0.05888584780041306
0.030688275,-0.00436283,0.092258055,0.05886757119911623
0.030662339,-0.004208815,0.091872773,0.0587883604756525
0.030639818,-0.004079054,0.091933352,0.058794545907433715
0.030619521,-0.004003327,0.092052087,0.058812517424442934
0.030601125,-0.00394248,0.092318634,0.05885899387706828
0.030583673,-0.003943769,0.092170822,0.05882742329299151
0.030567078,-0.003928678,0.092762072,0.058936110056650115
0.030555219,-0.003771208,0.092081165,0.058803668187659364
