Alpha,q,delta_e,Output1,Output2,Output3
0.352217498,0.824330753,-0.840097343,0.19793871,0.90325564,-0.5213565
0.393430267,0.855654404,-0.829575552,0.277213,0.9940596,-0.59574133
0.435241118,0.883243635,-0.81390021,0.36117345,1.0866886,-0.67305875
0.477424487,0.907896302,-0.792069276,0.45032242,1.1814862,-0.754205
0.519759391,0.929379752,-0.796435475,0.5186701,1.2639793,-0.81351656
0.561962348,0.94745842,-0.767589994,0.6127404,1.3592476,-0.89694375
0.603888222,0.962981773,-0.76408275,0.6860459,1.4420564,-0.95898014
0.645406074,0.976501747,-0.756209278,0.7619337,1.5252297,-1.0229424
0.68633978,0.987314857,-0.765800571,0.82276714,1.5987374,-1.0712125
0.726430771,0.994849492,-0.737885618,0.9115651,1.6856519,-1.146139
0.76549305,0.999161699,-0.730012175,0.98248667,1.7607857,-1.2025596
0.803287831,1.0,-0.701166695,1.0675695,1.8413413,-1.2720989
0.839595202,0.997119468,-0.683701959,1.140825,1.9128411,-1.3290898
0.874089455,0.989507834,-0.645265185,1.2272185,1.9882877,-1.3979111
0.906406614,0.976317313,-0.597165547,1.3171154,2.061805,-1.4688622
0.935958763,0.95476817,-0.531672744,1.4153863,2.134581,-1.5458953
0.961679185,0.91911799,-0.404122812,1.5550444,2.221744,-1.6597749
0.98200251,0.862643774,-0.177796855,1.761895,2.333704,-1.8339626
0.995225965,0.782000599,0.141149534,2.0279295,2.4634259,-2.0599103
1.0,0.679262591,0.473981813,2.288829,2.575275,-2.2754564
0.995756287,0.562624976,0.757998701,2.4948642,2.6443655,-2.434932
0.982875466,0.443136822,0.89256318,2.5681338,2.6322422,-2.4655976
0.962235851,0.328708119,0.897788275,2.5267951,2.5522983,-2.388129
0.93484163,0.223017526,0.831364975,2.418527,2.432726,-2.25064
0.901527625,0.125622274,0.743969667,2.284758,2.2967517,-2.0935361
0.862808143,0.033652025,0.692434327,2.1710222,2.1687312,-1.9604447
0.819022568,-0.055106741,0.684560884,2.0838284,2.0517716,-1.8567953
0.770495474,-0.141310756,0.6959416,2.0043294,1.9356439,-1.7635964
0.717589537,-0.224676321,0.709899092,1.9199519,1.8139014,-1.6684045
