a,q,delta e,cd
0.015779011,0.823058018,-0.15,0.010721247
0.016155764,0.826015334,-0.15,0.010790043
0.016534454,0.828966726,-0.15,0.010859191
0.016915071,0.831912184,-0.15,0.010928692
0.017297609,0.834851694,-0.15,0.010998543
0.017682058,0.837785244,-0.15,0.011068744
0.01806841,0.840712822,-0.15,0.011139292
0.018456657,0.843634415,-0.15,0.011210186
0.018846791,0.846550012,-0.15,0.011281424
0.019238803,0.849459599,-0.15,0.011353005
0.019632684,0.852363167,-0.15,0.011424928
0.020028427,0.855260702,-0.15,0.011497191
0.020426024,0.858152192,-0.15,0.011569792
0.020825465,0.861037627,-0.15,0.01164273
0.021226743,0.863916994,-0.15,0.011716003
0.02162985,0.866790283,-0.15,0.011789611
0.022034776,0.86965748,-0.15,0.01186355
0.022441515,0.872518576,-0.15,0.011937821
0.022850057,0.875373559,-0.15,0.01201242
0.023260394,0.878222418,-0.15,0.012087348
0.023672518,0.881065142,-0.15,0.012162602
0.024086421,0.883901719,-0.15,0.012238181
0.024502095,0.886732139,-0.15,0.012314083
0.024919531,0.889556391,-0.15,0.012390306
0.025338721,0.892374464,-0.15,0.01246685
0.025759657,0.895186348,-0.15,0.012543713
0.02618233,0.897992032,-0.15,0.012620893
0.026606733,0.900791505,-0.15,0.012698389
0.027032857,0.903584757,-0.15,0.0127762
0.027460694,0.906371778,-0.15,0.012854323
0.027890235,0.909152558,-0.15,0.012932757
0.028321473,0.911927086,-0.15,0.013011501
0.0287544,0.914695352,-0.15,0.013090553
0.029189007,0.917457347,-0.15,0.013169913
0.029625286,0.92021306,-0.15,0.013249577
0.030063229,0.922962481,-0.15,0.013329546
0.030502827,0.925705601,-0.15,0.013409816
0.030944073,0.928442411,-0.15,0.013490388
0.031386958,0.9311729,-0.15,0.013571259
0.031831475,0.933897059,-0.15,0.013652427
0.032277615,0.936614879,-0.15,0.013733892
0.03272537,0.939326351,-0.15,0.013815653
0.033174732,0.942031464,-0.15,0.013897706
0.033625692,0.944730211,-0.15,0.013980051
0.034078243,0.947422581,-0.15,0.014062687
0.034532377,0.950108566,-0.15,0.014145612
0.034988086,0.952788158,-0.15,0.014228824
0.03544536,0.955461346,-0.15,0.014312323
0.035904193,0.958128123,-0.15,0.014396106
0.036364577,0.960788479,-0.15,0.014480172
0.036826502,0.963442407,-0.15,0.014564519
0.037289962,0.966089897,-0.15,0.014649147
0.037754948,0.968730942,-0.15,0.014734054
0.038221452,0.971365532,-0.15,0.014819237
0.038689466,0.97399366,-0.15,0.014904697
0.039158982,0.976615317,-0.15,0.01499043
0.039629993,0.979230496,-0.15,0.015076437
0.040102489,0.981839188,-0.15,0.015162714
0.040576463,0.984441385,-0.15,0.015249262
0.041051907,0.987037079,-0.15,0.015336078
0.041528814,0.989626264,-0.15,0.015423161
0.042007174,0.99220893,-0.15,0.01551051
0.042486981,0.99478507,-0.15,0.015598123
0.042968225,0.997354678,-0.15,0.015685998
0.0434509,0.999917744,-0.15,0.015774134
0.043934998,1.002474263,-0.15,0.015862531
0.044420509,1.005024226,-0.15,0.015951185
0.044907427,1.007567626,-0.15,0.016040096
0.045395744,1.010104457,-0.15,0.016129263
0.045885451,1.012634711,-0.15,0.016218683
0.046376541,1.015158381,-0.15,0.016308356
0.046869006,1.017675461,-0.15,0.01639828
0.047362838,1.020185942,-0.15,0.016488454
0.047858028,1.02268982,-0.15,0.016578876
0.04835457,1.025187086,-0.15,0.016669545
0.048852456,1.027677735,-0.15,0.016760458
0.049351677,1.030161759,-0.15,0.016851616
0.049852225,1.032639153,-0.15,0.016943016
0.050354094,1.03510991,-0.15,0.017034658
0.050857275,1.037574023,-0.15,0.017126538
0.051361759,1.040031487,-0.15,0.017218657
0.051867541,1.042482295,-0.15,0.017311013
0.052374611,1.044926442,-0.15,0.017403604
0.052882961,1.04736392,-0.15,0.017496429
0.053392585,1.049794726,-0.15,0.017589486
0.053903475,1.052218851,-0.15,0.017682774
0.054415622,1.054636292,-0.15,0.017776292
0.054929018,1.057047041,-0.15,0.017870039
0.055443657,1.059451094,-0.15,0.017964012
0.05595953,1.061848445,-0.15,0.01805821
0.05647663,1.064239088,-0.15,0.018152633
0.056994949,1.066623018,-0.15,0.018247278
0.05751448,1.06900023,-0.15,0.018342144
0.058035214,1.071370718,-0.15,0.01843723
0.058557143,1.073734478,-0.15,0.018532534
0.059080262,1.076091504,-0.15,0.018628056
0.05960456,1.078441792,-0.15,0.018723793
0.060130032,1.080785335,-0.15,0.018819744
0.060656669,1.08312213,-0.15,0.018915908
0.061184464,1.085452172,-0.15,0.019012283
0.061713409,1.087775456,-0.15,0.019108868
0.062243496,1.090091977,-0.15,0.019205662
0.062774719,1.092401731,-0.15,0.019302664
0.063307068,1.094704712,-0.15,0.019399871
0.063840538,1.097000918,-0.15,0.019497282
0.064375119,1.099290343,-0.15,0.019594897
0.064910806,1.101572984,-0.15,0.019692713
0.065447589,1.103848835,-0.15,0.01979073
0.065985462,1.106117893,-0.15,0.019888945
0.066524417,1.108380154,-0.15,0.019987359
0.067064447,1.110635614,-0.15,0.020085968
0.067605543,1.112884268,-0.15,0.020184772
0.068147699,1.115126114,-0.15,0.02028377
0.068690908,1.117361147,-0.15,0.02038296
0.06923516,1.119589363,-0.15,0.02048234
0.06978045,1.12181076,-0.15,0.02058191
0.07032677,1.124025332,-0.15,0.020681668
0.070874112,1.126233078,-0.15,0.020781613
0.071422469,1.128433993,-0.15,0.020881743
0.071971833,1.130628074,-0.15,0.020982057
0.072522198,1.132815318,-0.15,0.021082553
0.073073554,1.134995722,-0.15,0.021183231
0.073625897,1.137169282,-0.15,0.021284089
0.074179217,1.139335996,-0.15,0.021385125
0.074733507,1.14149586,-0.15,0.021486338
0.075288761,1.143648871,-0.15,0.021587728
0.075844971,1.145795027,-0.15,0.021689292
0.076402129,1.147934326,-0.15,0.021791029
0.076960229,1.150066763,-0.15,0.021892938
0.077519262,1.152192337,-0.15,0.021995017
0.078079222,1.154311044,-0.15,0.022097266
0.078640101,1.156422884,-0.15,0.022199682
0.079201893,1.158527852,-0.15,0.022302266
0.079764589,1.160625947,-0.15,0.022405014
0.080328183,1.162717166,-0.15,0.022507926
0.080892667,1.164801507,-0.15,0.022611001
0.081458034,1.166878968,-0.15,0.022714237
0.082024277,1.168949547,-0.15,0.022817633
0.082591389,1.171013242,-0.15,0.022921188
0.083159363,1.17307005,-0.15,0.0230249
0.08372819,1.175119971,-0.15,0.023128768
0.084297866,1.177163001,-0.15,0.02323279
